,Framework,a (Å),b,c,alpha,beta,gamma,Volume (Å^3),Density (T sites/ 1000 Å^3),Rings,Max Diameter (Å),Max diameter along a,Max diameter along b,Max diameter along c,Accessible Volume %,Number of T Sites
227,SWY,13.0721,13.0721,30.26,90,90,120,4478.3,NaN,8_6_4,7.06,3.43,3.43,3.43,15.07,3
228,SYT,,,,,,,,,24_8_6_4,,,,,,6
229,SZR,18.8696,14.4008,7.514,90,90,90,2041.8,17.6,10_8_6_5_4,6.27,3.32,3.32,4.69,9.33,4
230,TER,9.807,23.646,20.24,90,90,90,4694.1,17,10_6_5_4,6.94,5.16,1.94,4.74,12.77,8
231,THO,14,7,6.482,90,90,90,635.2,15.7,8_4,5.15,3.26,3,3.69,9.94,3
232,TOL,12.2794,12.2794,30.86,90,90,120,4031.1,17.9,6_4,6.37,2.36,2.36,2.06,0,7
233,TON,14.105,17.842,5.256,90,90,90,1322.7,18.1,10_6_5,5.71,2.31,1.56,5.11,8.04,4
234,TSC,30.742,30.742,30.74,90,90,90,29053.4,13.2,8_6_4,16.45,4.08,4.08,4.08,27.85,2
235,TUN,27.8449,20.015,19.59,90,93.2,90,10904.4,17.6,10_8_6_5_4,8.46,4.9,5.39,4.9,12.93,24
236,UEI,19.4603,9.3507,15.1,90,90,90,2748.9,17.5,8_6_4,5.6,1.9,3.77,3.15,6.53,3
237,UFI,12.125,12.125,28.63,90,90,90,4210,15.2,8_6_4,10.09,3.89,3.89,1.88,19.74,3
238,UOE,9.0869,7.5548,10.47,90,108.33,90,682.7,17.6,10_8_6_5_4,4.96,3.72,4.43,3.01,8.94,4
239,UOS,19.9055,7.546,9.068,90,90,90,1362.1,17.6,10_8_6_5_4,5.85,2.6,4.24,3.05,9.02,4
240,UOV,12.7177,21.9894,38.76,90,90,90,10840.5,16.2,12_10_8_6_5_4,6.98,6.44,5.38,5.03,17.13,25
241,UOZ,8.6209,8.6209,27.54,90,90,90,2047,19.5,6_4,5.43,1.49,1.49,1.32,0,4
242,USI,21.1195,12.9714,9.672,90,108.37,90,2514.7,15.9,12_10_6_4,6.76,1.73,4.04,6.28,17.47,5
243,UTL,28.9964,13.9679,12.44,90,104.91,90,4872.5,15.6,14_12_6_5_4,9.3,1.38,5.77,7.61,21.88,12
244,UWY,25.11,12.733,11.51,90,90,90,3680,16.3,12_10_6_5_4,8.78,4.96,5.45,6.11,16.18,10
245,VET,13.048,13.048,4.948,90,90,90,842.4,20.2,12_8_7_6_5,6.39,1.51,1.51,5.98,7.82,5
246,VFI,18.284,18.284,8.589,90,90,120,2486.7,14.5,18_6_4,12.03,2.4,2.4,11.39,25.4,2
247,VNI,10.002,10.002,34.14,90,90,90,3415.5,17.6,8_5_4_3,4.8,3.16,3.16,2.53,4.66,7
248,VSV,7.156,7.156,41.84,90,90,90,2142.7,16.8,9_8_5_4_3,4.31,3.77,3.77,2.9,6.43,3
249,WEI,11.803,10.278,9.989,90,90,90,1211.8,16.5,10_8_6_4_3,4.19,3.43,3.43,3.46,7.82,2
250,WEN,13.587,13.587,7.557,90,90,120,1208.2,16.6,10_8_6_4,5.53,4.84,4.84,3.16,11.58,3
251,YFI,18.1807,31.8406,12.64,90,90,90,7317.5,16.4,12_8_6_5_4,7.97,6.18,6.18,3.6,15.37,9
252,YUG,10.248,13.788,6.782,90,111.545,90,891.4,18,8_5_4,4.49,3.08,1.44,3.12,5.7,2
253,ZON,6.918,14.87,17.23,90,90,90,1773.1,18,8_6_4,5.83,2.63,3.52,1.58,8.07,4
