CGF,T2,4-6-4-6_2-6-6
CGF,T3,4-4-4-6-6-6_2
CGF,T4,4-6_3-4-6_3-4-8
CGF,T5,4-4-6_2-6_2-10-10
CGS,T1,4-4-4-6-6-8
CGS,T2,4-4-4-10_2-8-8_6
CGS,T3,4-4-4-8_2-6-10
CGS,T4,4-4-4-8-8_4-10
CHA,T1,4-4-4-8-6-8
CHI,T1,4-6_3-6-6-6_2-6_2
CHI,T2,4-5-6-9-6_3-10_2
CHI,T3,4-5-9
CHI,T4,4-4-5-9-10-10
CLO,T1,4-6-4-6-4-12
CLO,T2,4-6-4-6-4-8
CLO,T3,4-6-4-6-4-20_8
CLO,T4,4-6-4-6-4-8
CLO,T5,4-4-4
CON,T1,4-5-4-10_4-5-6_2
CON,T2,4-5-5-6-5-10_2
CON,T3,4-6-4-10_4-5-6_2
CON,T4,4-4-5-6_2-5-12_7
CON,T5,4-4-5-6_2-5-12_4
CON,T6,4-5_2-5-6_2-6-6_2
CON,T7,4-6_2-5-6-5-10_2
CSV,T1,5-6-5-8-5_2-6
CSV,T2,4-5-4-6-4-8
CSV,T3,4-5-4-6-5-6
CSV,T4,4-5-4-8-5-10
CSV,T5,5-6-5-10-6-6
CSV,T6,4-6-4-10-5-6
CSV,T7,4-4-4-10-5-8
CSV,T8,4-5-4-6_2-5-6
CSV,T9,4-5-4-6-4-6
CSV,T10,4-5_2-5-6-5-6
CTH,T1,5-5-5-6_2-5-10
CTH,T2,5-5-5-6_2-5-10
CTH,T3,5-5-5-5-5-6_2
CTH,T4,4-5-4-5-4-10
CTH,T5,4-5-4-5-4-10
CTH,T6,5-6-5-6-5_2-10
CTH,T7,5-5_2-5-6-5-6
CTH,T8,5-6-5-6-5_2-10
CTH,T9,5-5_2-5-6-5-6
CTH,T10,5-5-5-5-14_6-*
CTH,T11,5-5-5-5-14_6-*
CZP,T1,4-4-4-8_6-8-8
CZP,T2,4-4-8_3-8_3-8_6-8_6
CZP,T3,4-4-4-4-8-8
DAC,T1,5-5-5-5_2-8-10_2
DAC,T2,5-5-5-5_2-5-8
DAC,T3,4-5_2-5-8-5-8
DAC,T4,4-5_2-5-8-5-8
DDR,T1,4-5-5-5-5-8
DDR,T2,5-5-5-5-5-5
DDR,T3,5-5-5-5-5-6
DDR,T4,5-5-5-5-5-8
DDR,T5,4-4-5-5-6-8
DDR,T6,5-5-5-5-5-5
DDR,T7,5-5-5-5-5-5
DFO,T1,4-6_3-4-6_3-4-12
DFO,T2,4-6_2-4-8-6-6_2
DFO,T3,4-4-6-6_3-6_3-10
DFO,T4,4-6-4-6_2-4-8
DFO,T5,4-4-4-6-6-6_2
DFO,T6,4-6_2-4-6_2-10-12
DFT,T1,4-4-6_2-8_3-6_2-8_3
DOH,T1,5-5-5-5-5-6
DOH,T2,4-5-5-6-5-6
DOH,T3,5-5-5-5-5-6
DOH,T4,5-5-5-5-5-5
DON,T1,4-6-4-6_2-5-6
DON,T2,4-6-4-6_2-5-6
DON,T3,5-6_2-6-6_2-6-6_2
DON,T4,5-6-5-6-6-6_2
DON,T5,5-6_2-5-6_2-6_2-6_2
EAB,T1,4-4-4-6-6-8
EAB,T2,4-4-6-6-8-8
EDI,T1,4-8_3-4-8_3-4_2-8_4
EDI,T2,4_2-4_2-8_4-8_4-8_4-8_4
EEI,T1,5-5-5-6_2-5-8
EEI,T2,5-5_2-5-6-5-6
EEI,T3,5-6-5-6-5-6
EEI,T4,4-6-5-5-5-5
EEI,T5,4-8-5-5-5-5
EEI,T6,5-6-5-6-5_2-8
EEI,T7,5-5-5-5-5-6_2
EEI,T8,5-5-5-5-12_4-*
EEI,T9,5-6-5-6-5-6_2
EEI,T10,5-5-5-5-12_6-*
EMT,T1,4-4-4-6-6-12
EMT,T2,4-4-4-6-6-12
EMT,T3,4-4-4-6-6-12
EMT,T4,4-4-4-6-6-12
EON,T1,4-5-4-5-8-12
EON,T2,4-5-4-5-8-12
EON,T3,4-5-4-5-8-12
EON,T4,5-5-5-5_2-8-12
EON,T5,5-5-5-5_2-5-8
EON,T6,4-8_2-4-8_2-5-6
EON,T7,4-8_2-4-8_2-5-6
EON,T8,4-8_2-4-8_2-5-6
